LEAID,LEA_NAME,STATE_ABBR,LOCALE,TOTAL,FREE_REDUCED_LUNCH_ELIGIBLE,ENGLISH_LEARNERS,LEA_TYPE
0102850,Roanoke City,AL,43,1355,875,,1
0102880,Russell County,AL,42,3850,1868,,1
0102910,Russellville City,AL,32,2615,1525,,1
0102940,Scottsboro City,AL,32,2457,1212,,1
0102970,Selma City,AL,32,2301,1983,,1
0103000,Sheffield City,AL,23,1029,742,,1
0103030,Shelby County,AL,21,20638,8598,,1
0103062,St Clair County,AL,42,9658,4171,,1
0103090,Sumter County,AL,43,901,751,,1
0103120,Sylacauga City,AL,32,1976,1130,,1
0103150,Talladega City,AL,41,1463,1129,,1
0103180,Talladega County,AL,42,7178,4174,,1
0103210,Tallapoosa County,AL,42,2822,1556,,1
0103240,Tallassee City,AL,42,1507,851,,1
0103270,Tarrant City,AL,21,1308,1019,,1
0103300,Thomasville City,AL,43,1013,648,,1
0103330,Troy City,AL,41,1827,1199,,1
0103360,Tuscaloosa City,AL,12,11230,6419,,1
0103390,Tuscaloosa County,AL,22,19278,9985,,1
0103420,Tuscumbia City,AL,23,1597,832,,1
0103430,Vestavia Hills City,AL,21,6934,694,,1
0103450,Walker County,AL,42,7091,3984,,1
0103480,Washington County,AL,43,2390,1277,,1
0103510,Wilcox County,AL,43,1147,974,,1
0103540,Winfield City,AL,43,1204,578,,1
0103580,Winston County,AL,43,2309,1181,,1
0103581,Orange Beach City,AL,21,1262,240,,1
0103582,Empower Schools of Alabama,AL,21,412,304,,7
0103583,Covenant Academy of Mobile,AL,12,327,271,,7
0103585,Freedom Prep Academy,AL,12,41,28,,7
0103586,Floretta P Carson Visual and Performing Arts,AL,12,235,167,,7
0200001,Lower Kuskokwim School District,AK,43,3823,3548,,1
0200003,Lower Yukon School District,AK,43,2027,2042,,1
0200004,Yupiit School District,AK,43,522,523,,1
0200005,Kashunamiut School District,AK,43,320,328,,1
0200006,Mount Edgecumbe,AK,33,422,324,,5
