LEAID,LEA_NAME,STATE_ABBR,LOCALE,TOTAL,FREE_REDUCED_LUNCH_ELIGIBLE,ENGLISH_LEARNERS,LEA_TYPE
1708790,Cass SD 63,IL,21,773,,,1
1708970,Center Cass SD 66,IL,21,1130,,,1
1709100,Central A & M CUD 21,IL,42,746,,,1
1709150,Central SD 51,IL,21,1349,,,1
1709170,Central SD 104,IL,21,629,,,1
1709180,Central City SD 133,IL,33,276,,,1
1709210,Lockport SD 91,IL,21,493,,,1
1709270,Centralia SD 135,IL,33,1068,,,1
1709300,Centralia HSD 200,IL,33,887,,,1
1709330,Cerro Gordo CUSD 100,IL,42,474,,,1
1709400,Chadwick-Milledgeville CUSD 399,IL,42,375,,,1
1709420,Champaign CUSD 4,IL,13,10598,,,1
1709510,Chaney-Monge SD 88,IL,21,479,,,1
1709540,Channahon SD 17,IL,21,1145,,,1
1709600,Charleston CUSD 1,IL,33,2744,,,1
1709810,Chester CUSD 139,IL,33,975,,,1
1709850,Chester-East Lincoln CCSD 61,IL,32,288,,,1
1709930,Chicago Public Schools Dist 299,IL,11,324130,,,1
1709960,Chicago Heights SD 170,IL,21,2674,,,1
1709990,Chicago Ridge SD 127-5,IL,21,1485,,,1
1710200,Cicero SD 99,IL,21,8664,,,1
1710240,North Wayne CUSD 200,IL,42,392,,,1
1710290,Cissna Park CUSD 6,IL,43,292,,,1
1710340,Clay City CUSD 10,IL,42,253,,,1
1710380,Skokie SD 73-5,IL,13,1065,,,1
1710410,Central CUSD 4,IL,42,968,,,1
1710440,Clinton CUSD 15,IL,32,1765,,,1
1710470,CCSD 93,IL,21,3319,,,1
1710530,Coal City CUSD 1,IL,31,2129,,,1
1710570,Cobden SUD 17,IL,42,454,,,1
1710650,Collinsville CUSD 10,IL,21,6031,,,1
1710690,Colona SD 190,IL,21,371,,,1
1710740,Columbia CUSD 4,IL,21,1904,,,1
1710790,Hamilton Co CUSD 10,IL,43,1091,,,1
1710800,Oakwood CUSD 76,IL,42,829,,,1
1710820,Westville CUSD 2,IL,32,1149,,,1
1710830,Triopia CUSD 27,IL,42,390,,,1
1710860,Cornell CCSD 426,IL,42,114,,,1
1710950,Ford Heights SD 169,IL,21,462,,,1
1710980,Coulterville USD 1,IL,43,185,,,1
1711010,Country Club Hills SD 160,IL,21,849,,,1
1711100,Crab Orchard CUSD 3,IL,42,477,,,1
1711220,Creston CCSD 161,IL,42,76,,,1
1711250,Crete Monee CUSD 201U,IL,41,4562,,,1
1711290,Creve Coeur SD 76,IL,21,455,,,1
1711350,Crystal Lake CCSD 47,IL,21,6889,,,1
1711370,CHSD 155,IL,21,5203,,,1
1711400,CUSD 3 Fulton County,IL,42,386,,,1
1711520,Cypress SD 64,IL,43,116,,,1
1711610,Dakota CUSD 201,IL,42,754,,,1
1711700,Dalzell SD 98,IL,32,45,,,1
1711730,Damiansville SD 62,IL,42,102,,,1
1711790,Danville CCSD 118,IL,32,4940,,,1
1711850,Decatur SD 61,IL,13,7840,,,1
1711880,Deer Creek-Mackinaw CUSD 701,IL,42,942,,,1
1711910,Deer Park CCSD 82,IL,42,44,,,1
1711980,Deerfield SD 109,IL,21,2714,,,1
1712000,DeKalb CUSD 428,IL,23,6771,,,1
1712030,Deland-Weldon CUSD 57,IL,42,173,,,1
1712060,Delavan CUSD 703,IL,42,375,,,1
1712090,DePue USD 103,IL,42,318,,,1
1712120,CCSD 62,IL,13,4520,,,1
1712150,DeSoto Cons SD 86,IL,41,198,,,1
1712210,Diamond Lake SD 76,IL,21,810,,,1
1712240,Dieterich CUSD 30,IL,42,632,,,1
1712330,Dixon USD 170,IL,32,2436,,,1
1712420,Dolton SD 149,IL,21,2192,,,1
1712450,Dolton SD 148,IL,21,2077,,,1
1712480,Dongola USD 66,IL,42,221,,,1
1712510,Donovan CUSD 3,IL,42,298,,,1
1712540,Downers Grove GSD 58,IL,13,4811,,,1
1712570,CHSD 99,IL,13,4673,,,1
1712700,Dunlap CUSD 323,IL,41,4837,,,1
1712720,Comm Unit School District No 196,IL,21,884,,,1
1712760,Du Quoin CUSD 300,IL,33,1329,,,1
1712810,Durand CUSD 322,IL,42,509,,,1
1712840,Dwight Common SD 232,IL,42,519,,,1
1712870,Dwight Twp HSD 230,IL,42,211,,,1
1712900,E St Louis Area Joint Agreement,IL,21,,,,9
1712930,Earlville CUSD 9,IL,42,405,,,1
1712960,East Alton SD 13,IL,23,716,,,1
1712990,East Alton-Wood River CHSD 14,IL,23,539,,,1
1713050,East Dubuque USD 119,IL,23,623,,,1
1713140,East Maine SD 63,IL,21,3706,,,1
1713170,East Moline SD 37,IL,21,2641,,,1
1713230,East Peoria CHSD 309,IL,21,823,,,1
1713240,East Peoria SD 86,IL,21,1401,,,1
1713260,East Prairie SD 73,IL,13,513,,,1
1713290,Richland County CUSD 1,IL,33,2145,,,1
1713320,East St Louis SD 189,IL,21,4646,,,1
1713370,Edgar County CUD 6,IL,42,267,,,1
1713410,Edinburg CUSD 4,IL,42,212,,,1
1713440,Lindop SD 92,IL,21,307,,,1
1713500,Edwards County CUSD 1,IL,43,821,,,1
1713530,Edwardsville CUSD 7,IL,21,7060,,,1
1713560,Effingham CUSD 40,IL,33,2261,,,1
1713590,Egyptian CUSD 5,IL,42,304,,,1
1713660,Eldorado CUSD 4,IL,42,1105,,,1
1713710,SD U-46,IL,21,34036,,,1
1713770,Comm Cons SD 59,IL,21,5869,,,1
1713860,Elverado CUSD 196,IL,42,348,,,1
1713920,Tri Valley CUSD 3,IL,41,1074,,,1
1713940,DuPage HSD 88,IL,21,3830,,,1
1713970,Elmhurst SD 205,IL,21,8280,,,1
1714050,Elmwood CUSD 322,IL,42,622,,,1
1714100,Elmwood Park CUSD 401,IL,21,2908,,,1
1714160,Elwood CCSD 203,IL,41,331,,,1
1714220,Harmony Emge SD 175,IL,21,735,,,1
1714250,Emmons SD 33,IL,21,288,,,1
1714350,Erie CUSD 1,IL,42,603,,,1
1714410,Eswood CCSD 269,IL,42,82,,,1
1714430,Eureka CUD 140,IL,31,1551,,,1
1714460,Evanston CCSD 65,IL,13,6136,,,1
1714490,Evanston Twp HSD 202,IL,13,3560,,,1
1714550,Evergreen Park ESD 124,IL,21,1735,,,1
1714580,Evergreen Park CHSD 231,IL,21,941,,,1
1714640,Ewing Northern CCSD 115,IL,42,231,,,1
1714710,Fairfield PSD 112,IL,41,617,,,1
1714760,Fairmont SD 89,IL,21,300,,,1
1714820,Fairview SD 72,IL,13,718,,,1
1714940,Farrington CCSD 99,IL,42,46,,,1
1715030,Fenton CHSD 100,IL,21,1396,,,1
1715090,Field CCSD 3,IL,42,233,,,1
1715100,Fieldcrest CUSD 6,IL,42,862,,,1
1715180,Fisher CUSD 1,IL,42,610,,,1
1715400,Flora CUSD 35,IL,33,1320,,,1
1715420,Flossmoor SD 161,IL,21,2302,,,1
1715450,Forest Park SD 91,IL,21,724,,,1
1715480,Forest Ridge SD 142,IL,21,1539,,,1
1715490,Forrestville Valley CUSD 221,IL,42,714,,,1
1715630,Fox Lake GSD 114,IL,21,600,,,1
1715660,Fox River Grove Cons SD 3,IL,21,413,,,1
1715700,Frankfort CCSD 157C,IL,21,2676,,,1
1715750,Franklin CUSD 1,IL,42,284,,,1
1715780,Franklin Park SD 84,IL,21,1254,,,1
1715820,Freeburg CCSD 70,IL,41,752,,,1
1715840,Freeburg CHSD 77,IL,41,689,,,1
1715880,Serena CUSD 2,IL,42,611,,,1
1715900,Freeport SD 145,IL,32,3703,,,1
1715930,Fremont SD 79,IL,41,2086,,,1
1716020,Galatia CUSD 1,IL,42,382,,,1
1716050,Galena USD 120,IL,42,836,,,1
1716080,Galesburg CUSD 205,IL,32,3863,,,1
1716140,Galva CUSD 224,IL,42,471,,,1
1716230,Gardner CCSD 72C,IL,41,146,,,1
1716260,Gardner S Wilmington Twp HSD 73,IL,42,154,,,1
1716290,Gavin SD 37,IL,21,792,,,1
1716320,Geff CCSD 14,IL,42,100,,,1
1716350,Geneseo CUSD 228,IL,31,2422,,,1
1716380,Geneva CUSD 304,IL,21,5043,,,1
1716410,Genoa Kingston CUSD 424,IL,31,1503,,,1
1716530,Germantown SD 60,IL,42,258,,,1
1716560,Germantown Hills SD 69,IL,21,813,,,1
1716590,Giant City CCSD 130,IL,41,218,,,1
1716650,Gifford CCSD 188,IL,42,151,,,1
1716680,Gillespie CUSD 7,IL,32,1095,,,1
1716800,Glen Ellyn SD 41,IL,21,3482,,,1
1716830,Glenbard Twp HSD 87,IL,21,7810,,,1
1716860,Glencoe SD 35,IL,21,1226,,,1
1716920,Glenview CCSD 34,IL,21,4287,,,1
1716950,Brookwood SD 167,IL,21,1098,,,1
1717040,Woodridge SD 68,IL,21,2927,,,1
1717160,Gower SD 62,IL,21,940,,,1
1717190,Grand Prairie CCSD 6,IL,42,63,,,1
1717220,Grand Ridge CCSD 95,IL,42,212,,,1
1717280,Granite City CUSD 9,IL,21,5747,,,1
1717310,Grant CCSD 110,IL,21,569,,,1
1717340,Grant CHSD 124,IL,21,1769,,,1
1717370,Grant Park CUSD 6,IL,42,452,,,1
1717490,Grass Lake SD 36,IL,21,186,,,1
1717520,Grayslake CCSD 46,IL,21,3650,,,1
1717550,Grayslake CHSD 127,IL,21,2583,,,1
1717580,Grayville CUSD 1,IL,42,275,,,1
1717670,Greenfield CUSD 10,IL,42,417,,,1
1717700,Greenview CUSD 200,IL,42,224,,,1
1717730,Bond County CUSD 2,IL,32,1550,,,1
1717790,Griggsville-Perry CUSD 4,IL,43,329,,,1
1717800,Gurnee SD 56,IL,21,1836,,,1
1717850,Northbrook ESD 27,IL,21,1340,,,1
1718030,Hall HSD 502,IL,32,388,,,1
1718060,Hamilton CCSD 328,IL,33,577,,,1
1718090,Hampton SD 29,IL,21,225,,,1
1718180,Calhoun CUSD 40,IL,42,507,,,1
1718200,Hardin County CUSD 1,IL,43,498,,,1
1718240,Harlem UD 122,IL,21,6108,,,1
1718270,Harrisburg CUSD 3,IL,33,1781,,,1
1718360,Harrison SD 36,IL,41,447,,,1
1718390,Hartsburg Emden CUSD 21,IL,42,175,,,1
1718420,Harvard CUSD 50,IL,32,2532,,,1
1718450,Harvey SD 152,IL,21,1487,,,1
1718480,W Harvey-Dixmoor PSD 147,IL,21,814,,,1
1718510,Havana CUSD 126,IL,42,819,,,1
1718570,Hawthorn CCSD 73,IL,21,3496,,,1
1718600,Hazel Crest SD 152-5,IL,21,891,,,1
1718810,Herrin CUSD 4,IL,33,2320,,,1
1718840,Herscher CUSD 2,IL,42,1686,,,1
1718870,Heyworth CUSD 4,IL,42,873,,,1
1718960,High Mount SD 116,IL,21,325,,,1
1718990,Highland CUSD 5,IL,41,2730,,,1
1719080,Twp HSD 113,IL,21,3098,,,1
1719110,LaGrange Highlands SD 106,IL,21,994,,,1
1719200,Hillsboro CUSD 3,IL,32,1518,,,1
1719230,Hillside SD 93,IL,21,440,,,1
1719260,Hinckley Big Rock CUSD 429,IL,42,730,,,1
1719290,Hinsdale CCSD 181,IL,21,3574,,,1
1719320,Hinsdale Twp HSD 86,IL,21,3815,,,1
1719420,Hollis Cons SD 328,IL,41,147,,,1
1719500,Homer CCSD 33C,IL,21,3704,,,1
1719530,Homewood SD 153,IL,21,1856,,,1
1719560,Homewood Flossmoor CHSD 233,IL,21,2707,,,1
1719620,Hononegah CHD 207,IL,23,1814,,,1
1719660,Hoopeston Area CUSD 11,IL,32,1064,,,1
1719680,Hoover-Schrum Memorial SD 157,IL,21,845,,,1
1719830,Huntley Comm Sch Dist 158,IL,21,8401,,,1
1719920,Hutsonville CUSD 1,IL,42,267,,,1
1719960,Illini Bluffs CUSD 327,IL,42,855,,,1
1719970,Il Valley Central USD 321,IL,21,2071,,,1
1720170,Iroquois County CUSD 9,IL,32,939,,,1
1720180,Iroquois West CUSD 10,IL,42,854,,,1
1720190,Irvington CCSD 11,IL,42,64,,,1
1720220,Itasca SD 10,IL,21,960,,,1
1720250,Iuka CCSD 7,IL,42,231,,,1
1720280,Jacksonville SD 117,IL,32,3231,,,1
1720370,Jasper CCSD 17,IL,41,170,,,1
1720380,Jasper County CUD 1,IL,43,1197,,,1
1720430,Jersey CUSD 100,IL,32,2365,,,1
1720490,Johnsburg CUSD 12,IL,21,1681,,,1
1720550,Johnston City CUSD 1,IL,41,1057,,,1
1720580,Joliet PSD 86,IL,21,9333,,,1
1720610,Joliet Twp HSD 204,IL,21,6746,,,1
1720640,County of Union Sch Dist No43,IL,32,338,,,1
1720760,Kankakee SD 111,IL,13,4602,,,1
1720790,Kansas CUSD 3,IL,43,168,,,1
1720880,Keeneyville SD 20,IL,21,1301,,,1
1720910,Kell Cons SD 2,IL,42,64,,,1
1720970,Kenilworth SD 38,IL,21,471,,,1
1721000,Kewanee CUSD 229,IL,32,1963,,,1
1721030,Kildeer Countryside CCSD 96,IL,21,3419,,,1
1721130,Kings Cons SD 144,IL,42,81,,,1
1721180,Kinnikinnick CCSD 131,IL,41,1681,,,1
1721270,Kirby SD 140,IL,21,3495,,,1
1721300,Hiawatha CUSD 426,IL,42,427,,,1
1721390,Knoxville CUSD 202,IL,32,917,,,1
1721420,Komarek SD 94,IL,21,570,,,1
1721450,Darien SD 61,IL,21,1237,,,1
1721510,Ladd CCSD 94,IL,41,183,,,1
1721590,Lagrange Area Dept Spec Ed-Ladse,IL,21,,,,9
1721600,La Grange SD 102,IL,21,2875,,,1
1721630,La Grange SD 105 South,IL,21,1212,,,1
1721680,La Moille CUSD 303,IL,42,182,,,1
1721720,Lake Bluff ESD 65,IL,21,877,,,1
1721750,Lake Forest SD 67,IL,21,1652,,,1
1721780,Lake Forest CHSD 115,IL,21,1359,,,1
1721840,Lake Park CHSD 108,IL,21,2522,,,1
1721870,Lake Villa CCSD 41,IL,21,2388,,,1
1721900,Lake Zurich CUSD 95,IL,21,5772,,,1
1722020,Lansing SD 158,IL,21,2547,,,1
1722050,Laraway CCSD 70C,IL,21,433,,,1
1722080,La Salle ESD 122,IL,32,919,,,1
1722110,La Salle-Peru Twp HSD 120,IL,32,1167,,,1
1722130,Red Hill CUSD 10,IL,41,903,,,1
1722150,Lawrence County CUD 20,IL,33,1061,,,1
1722300,Lebanon CUSD 9,IL,21,530,,,1
1722350,Paw Paw CUSD 271,IL,42,129,,,1
1722360,Lee County Spec Educ Assoc,IL,32,,,,9
1722500,Lemont Twp HSD 210,IL,21,1284,,,1
1722530,Lena Winslow CUSD 202,IL,42,817,,,1
1722620,LeRoy CUSD 2,IL,42,739,,,1
1722710,Lexington CUSD 7,IL,42,511,,,1
1722730,Leyden Area Spec Educ Coop,IL,21,,,,9
1722740,Leyden CHSD 212,IL,21,3527,,,1
1722770,Liberty CUSD 2,IL,43,589,,,1
1722800,Libertyville SD 70,IL,21,2190,,,1
1722830,CHSD 128,IL,21,3196,,,1
1722860,Lick Creek CCSD 16,IL,42,126,,,1
1722870,Leland CUSD 1,IL,42,263,,,1
1722920,Limestone Walters CCSD 316,IL,21,169,,,1
1722950,Limestone CHSD 310,IL,41,898,,,1
1722980,Lincoln ESD 27,IL,32,1056,,,1
1723050,Lincoln CHSD 404,IL,32,764,,,1
1723070,Lincoln Way CHSD 210,IL,21,6734,,,1
1723090,Lincolnshire-Prairieview SD 103,IL,21,1878,,,1
1723100,Lincolnwood SD 74,IL,21,1196,,,1
1723160,Lisbon CCSD 90,IL,42,121,,,1
1723200,Lisle CUSD 202,IL,21,1562,,,1
1723250,Litchfield CUSD 12,IL,32,1279,,,1
1723340,Lockport Area Spec Educ Coop,IL,21,,,,9
1723350,Lockport Twp HSD 205,IL,21,3678,,,1
1723460,Lombard SD 44,IL,21,2989,,,1
1723640,Brooklyn UD 188,IL,21,118,,,1
1723700,Ludlow CCSD 142,IL,42,52,,,1
1723730,Will County SD 92,IL,21,1435,,,1
1723850,Lyons SD 103,IL,21,2042,,,1
1723880,Lyons Twp HSD 204,IL,21,3706,,,1
1723920,Macomb CUSD 185,IL,33,2075,,,1
1723970,Madison CUSD 12,IL,21,613,,,1
1723985,Madison Co Reg I Spec Educ Coop,IL,21,,,,9
1723990,Madison County Voc Adj Counseling,IL,21,,,,9
1724000,Maercker SD 60,IL,21,1430,,,1
1724060,Mahomet-Seymour CUSD 3,IL,31,3468,,,1
1724090,Maine Township HSD 207,IL,21,6272,,,1
1724120,Malden CCSD 84,IL,42,79,,,1
1724270,Manhattan SD 114,IL,31,2011,,,1
1724330,Mannheim SD 83,IL,21,2338,,,1
1724390,Manteno CUSD 5,IL,31,1801,,,1
1724420,Northbrook/Glenview SD 30,IL,21,1250,,,1
1724480,Kaneland CUSD 302,IL,41,3908,,,1
1724570,Marengo CHSD 154,IL,31,685,,,1
1724600,Marion CUSD 2,IL,33,3684,,,1
1724650,Marissa CUSD 40,IL,42,492,,,1
1724720,Prairie-Hills ESD 144,IL,21,2473,,,1
1724750,Maroa Forsyth CUSD 2,IL,42,1212,,,1
1724780,Marquardt SD 15,IL,21,2310,,,1
1724870,Marshall CUSD 2C,IL,42,1181,,,1
1724900,Martinsville CUSD 3C,IL,42,384,,,1
1724940,Mascoutah CUD 19,IL,31,4345,,,1
1725000,Massac UD 1,IL,41,1826,,,1
1725020,Matteson ESD 162,IL,21,2405,,,1
1725050,Mattoon CUSD 2,IL,32,2983,,,1
1725110,Maywood-Melrose Park-Broadview 89,IL,21,4081,,,1
1725190,Mazon-Verona-Kinsman ESD 2C,IL,42,316,,,1
1725260,McClellan CCSD 12,IL,41,56,,,1
1725290,McHenry CCSD 15,IL,21,4025,,,1
1725320,McHenry CHSD 156,IL,21,2214,,,1
1725500,Medinah SD 11,IL,21,744,,,1
1725590,CUSD 4,IL,42,672,,,1
1725620,Mendota CCSD 289,IL,32,1042,,,1
1725650,Mendota Twp HSD 280,IL,41,493,,,1
1725680,Meredosia-Chambersburg CUSD 11,IL,43,212,,,1
1725690,Meridian CUSD 223,IL,41,1469,,,1
1725740,Metamora CCSD 1,IL,42,829,,,1
1725770,County of Woodford School,IL,41,896,,,1
1725920,Midlothian SD 143,IL,21,1620,,,1
1726100,Millburn CCSD 24,IL,41,1099,,,1
1726180,Fairfield Comm H S Dist 225,IL,33,444,,,1
1726190,Millstadt CCSD 160,IL,41,699,,,1
1726250,Miller Twp CCSD 210,IL,42,195,,,1
1726310,Minooka CCSD 201,IL,21,4361,,,1
1726340,Minooka CHSD 111,IL,21,2918,,,1
1726370,Mokena SD 159,IL,21,1557,,,1
1726400,Moline-Coal Valley CUSD 40,IL,13,7257,,,1
1726430,Momence CUSD 1,IL,42,970,,,1
1726490,Monroe SD 70,IL,21,274,,,1
1726550,Monticello CUSD 25,IL,32,1707,,,1
1726590,Montmorency CCSD 145,IL,41,209,,,1
1726610,Morris SD 54,IL,31,1082,,,1
1726640,Morris CHSD 101,IL,31,926,,,1
1726710,Morrison CUSD 6,IL,42,973,,,1
1726760,Morrisonville CUSD 1,IL,42,287,,,1
1726800,Morton CUSD 709,IL,21,3247,,,1
1726820,Golf ESD 67,IL,21,631,,,1
1726850,Morton Grove SD 70,IL,21,885,,,1
1726880,J S Morton HSD 201,IL,21,7709,,,1
1726970,Meridian CUSD 101,IL,42,419,,,1
1727180,Mount Olive CUSD 5,IL,41,479,,,1
1727210,Mount Prospect SD 57,IL,21,2105,,,1
1727290,Mt Pulaski CUSD 23,IL,42,547,,,1
1727300,Brown County CUSD 1,IL,43,673,,,1
1727340,Mount Vernon SD 80,IL,33,1445,,,1
1727360,Mt Vernon Twp HSD 201,IL,41,1233,,,1
1727390,Mt Zion CUSD 3,IL,23,2427,,,1
1727450,Mulberry Grove CUSD 1,IL,42,302,,,1
1727540,Mundelein ESD 75,IL,21,1570,,,1
1727570,Mundelein Cons HSD 120,IL,21,2282,,,1
1727610,Murphysboro CUSD 186,IL,32,1877,,,1
1727710,Naperville CUSD 203,IL,12,16047,,,1
1727720,Nashville CCSD 49,IL,43,622,,,1
1727740,Nashville CHSD 99,IL,43,359,,,1
1727780,Nauvoo-Colusa CUSD 325,IL,42,208,,,1
1727840,Neoga CUSD 3,IL,42,521,,,1
1727930,Nettle Creek CCSD 24C,IL,42,77,,,1
1727960,New Athens CUSD 60,IL,42,488,,,1
1727990,New Berlin CUSD 16,IL,42,863,,,1
1728110,New Hope CCSD 6,IL,42,204,,,1
1728140,New Lenox SD 122,IL,21,4956,,,1
1728160,New Simpson Hill SD 32,IL,43,228,,,1
1728200,New Trier Twp HSD 203,IL,21,3656,,,1
1728260,Newark CHSD 18,IL,42,175,,,1
1728270,Newark CCSD 66,IL,42,205,,,1
1728500,Niles ESD 71,IL,21,666,,,1
1728530,Niles Twp HSD 219,IL,13,4645,,,1
1728560,Nokomis CUSD 22,IL,43,601,,,1
1728620,McLean County USD 5,IL,22,12407,,,1
1728650,Norridge SD 80,IL,21,1111,,,1
1728700,North Boone CUSD 200,IL,41,1470,,,1
1728810,North Clay CUSD 25,IL,42,557,,,1
1728890,North Palos SD 117,IL,21,3350,,,1
1728920,N Pekin & Marquette Hght SD 102,IL,21,453,,,1
1728980,Northbrook SD 28,IL,21,1828,,,1
1729010,Glenbrook HSD 225,IL,21,5034,,,1
1729020,Northwestern Illinois Assn,IL,21,,,,9
1729040,Norwood ESD 63,IL,21,374,,,1
1729100,Oak Grove SD 68  Bartonville,IL,21,285,,,1
1729130,Oak Grove SD 68 Green Oaks,IL,21,911,,,1
1729190,Oak Lawn-Hometown SD 123,IL,21,3395,,,1
1729220,Oak Lawn CHSD 229,IL,21,1867,,,1
1729250,Oak Park ESD 97,IL,21,5560,,,1
1729280,Oak Park - River Forest SD 200,IL,21,3307,,,1
1729310,Oakdale CCSD 1,IL,42,58,,,1
1729340,Oakland CUSD 5,IL,43,246,,,1
1729420,Oblong CUSD 4,IL,42,526,,,1
1729520,Odell CCSD 435,IL,42,155,,,1
1729670,Oglesby ESD 125,IL,32,444,,,1
1729700,Ohio CCSD 17,IL,43,85,,,1
1729730,Ohio CHSD 505,IL,43,22,,,1
1729760,O Fallon CCSD 90,IL,21,3862,,,1
1729790,O Fallon Twp HSD 203,IL,21,2540,,,1
1729890,Olympia CUSD 16,IL,42,1740,,,1
1729940,R O W V A CUSD 208,IL,42,617,,,1
1730060,Orangeville CUSD 203,IL,42,330,,,1
1730160,Oregon CUSD 220,IL,42,1406,,,1
1730200,Orion CUSD 223,IL,42,963,,,1
1730220,Orland SD 135,IL,21,5186,,,1
1730270,CUSD 308,IL,21,16766,,,1
1730300,Ottawa ESD 141,IL,32,1747,,,1
1730330,Ottawa Twp HSD 140,IL,32,1223,,,1
1730420,Palatine CCSD 15,IL,21,11321,,,1
1730450,Township HSD 211,IL,21,12458,,,1
1730480,Palestine CUSD 3,IL,42,354,,,1
1730510,CCSD 180,IL,21,483,,,1
1730540,Northwestern CUSD 2,IL,42,323,,,1
1730570,Palos Heights SD 128,IL,21,830,,,1
1730600,Palos CCSD 118,IL,21,2122,,,1
1730630,Pana CUSD 8,IL,32,1159,,,1
1730660,Panhandle CUSD 2,IL,42,437,,,1
1730750,Paris-Union SD 95,IL,32,1231,,,1
1730780,Paris CUSD 4,IL,32,622,,,1
1730810,Park Forest SD 163,IL,21,1524,,,1
1730840,Park Ridge CCSD 64,IL,21,4654,,,1
1730870,Patoka CUSD 100,IL,43,201,,,1
1730900,Gen George Patton SD 133,IL,21,184,,,1
1730930,Pawnee CUSD 11,IL,42,572,,,1
1730990,Payson CUSD 1,IL,42,449,,,1
1731020,Pearl City CUSD 200,IL,42,418,,,1
1731050,Pecatonica CUSD 321,IL,42,889,,,1
1731080,Pekin PSD 108,IL,21,3126,,,1
1731110,Pekin CSD 303,IL,21,1712,,,1
1731140,Pembroke CCSD 259,IL,42,193,,,1
1731200,Pennoyer SD 79,IL,21,419,,,1
1731230,Peoria SD 150,IL,12,12913,,,1
1731270,Peoria Heights CUSD 325,IL,21,703,,,1
1731290,Peotone CUSD 207U,IL,41,1280,,,1
1731310,Perandoe Spec Educ District,IL,42,,,,9
1731380,Peru ESD 124,IL,32,966,,,1
1731410,Porta CUSD 202,IL,42,1034,,,1
1731500,Southwestern CUSD 9,IL,42,1149,,,1
1731560,CCSD 204,IL,42,210,,,1
1731620,Pinckneyville CHSD 101,IL,42,403,,,1
1731710,Pikeland CUSD 10,IL,43,1200,,,1
1731740,Plainfield SD 202,IL,21,24556,,,1
1731770,Plano CUSD 88,IL,21,2398,,,1
1731860,Pleasant Hill SD 69,IL,21,164,,,1
1731890,Pleasant Hill CUSD 3,IL,43,353,,,1
1731920,Pleasant Plains CUSD 8,IL,41,1294,,,1
1731950,Pleasant Valley SD 62,IL,21,414,,,1
1732040,Pleasantdale SD 107,IL,21,818,,,1
1732090,Potomac CUSD 10,IL,42,137,,,1
1732100,Polo CUSD 222,IL,42,594,,,1
1732160,Pontiac CCSD 429,IL,32,1135,,,1
1732190,Pontiac-W Holliday SD 105,IL,21,630,,,1
1732220,Pontiac Twp HSD 90,IL,32,658,,,1
1732280,Pope Co CUD 1,IL,42,442,,,1
1732370,Posen-Robbins ESD 143-5,IL,21,1286,,,1
1732490,Prairie Du Rocher CCSD 134,IL,42,114,,,1
1732520,Prairie Grove CSD 46,IL,21,909,,,1
1732550,Prairie Hill CCSD 133,IL,23,795,,,1
1732580,Adlai E Stevenson HSD 125,IL,21,4758,,,1
1732670,Princeton ESD 115,IL,32,1091,,,1
1732700,Princeton HSD 500,IL,32,479,,,1
1732770,Princeville CUSD 326,IL,42,642,,,1
1732830,Prophetstown-Lyndon-Tampico CUSD3,IL,42,738,,,1
1732850,Prospect Heights SD 23,IL,21,1476,,,1
1732910,Proviso Twp HSD 209,IL,21,4458,,,1
1732960,Putnam County CUSD 535,IL,42,773,,,1
1732970,Queen Bee SD 16,IL,21,1608,,,1
1733000,Quincy SD 172,IL,33,6264,,,1
1733030,Raccoon Cons SD 1,IL,42,204,,,1
1733090,Ramsey CUSD 204,IL,42,393,,,1
1733120,Rankin CSD 98,IL,41,196,,,1
1733210,Rantoul City SD 137,IL,31,1656,,,1
1733240,Rantoul Township HSD 193,IL,31,901,,,1
1733270,Reavis Twp HSD 220,IL,21,1930,,,1
1733300,Red Bud CUSD 132,IL,42,978,,,1
1733380,Reed Custer CUSD 255U,IL,31,1393,,,1
1733390,Rhodes SD 84-5,IL,21,499,,,1
1733420,Rich Twp HSD 227,IL,21,2433,,,1
1733450,Richland GSD 88A,IL,21,774,,,1
1733510,Richmond-Burton CHSD 157,IL,41,521,,,1
1733690,Ridgeland SD 122,IL,21,2394,,,1
1733720,Ridgewood CHSD 234,IL,21,988,,,1
1733750,Riley CCSD 18,IL,42,277,,,1
1733810,River Forest SD 90,IL,21,1333,,,1
1733840,River Grove SD 85-5,IL,21,722,,,1
1733870,River Trails SD 26,IL,21,1462,,,1
1733930,Riverdale CUSD 100,IL,41,1095,,,1
1733950,River Bend CUSD 2,IL,32,998,,,1
1733990,Riverside SD 96,IL,21,1794,,,1
1734020,Riverside-Brookfield Twp SD 208,IL,21,1663,,,1
1734100,Riverton CUSD 14,IL,22,1219,,,1
1734110,Riverview CCSD 2,IL,41,220,,,1
1734140,Roanoke Benson CUSD 60,IL,42,449,,,1
1734170,Robein SD 85,IL,21,150,,,1
1734230,Robinson CUSD 2,IL,32,1537,,,1
1734260,Rochelle CCSD 231,IL,32,1597,,,1
1734290,Rochelle Twp HSD 212,IL,32,859,,,1
1734320,Rochester CUSD 3A,IL,41,2012,,,1
1734350,Rock Falls ESD 13,IL,32,927,,,1
1734380,Rock Falls Twp HSD 301,IL,32,530,,,1
1734410,Rock Island SD 41,IL,13,6292,,,1
1734440,Rockridge CUSD 300,IL,42,1082,,,1
1734470,Rockdale SD 84,IL,21,257,,,1
1734510,Rockford SD 205,IL,12,28467,,,1
